station_name,location,time_of_day,start_station_count,end_station_count,total_station_traffic
Broadway & W 39 St,"40.75299641,-73.98721619",Morning,1212,1052,2264
W 26 St & 10 Ave,"40.749717753,-74.002950346",Morning,911,1317,2228
E 30 St & Park Ave S,"40.74444921,-73.98303529",Morning,1174,1048,2222
LaGuardia Pl & W 3 St,"40.72917025,-73.99810231",Morning,843,1364,2207
E 16 St & 5 Ave,"40.73726186,-73.99238967",Morning,842,1357,2199
W 25 St & 6 Ave,"40.74395411,-73.99144871",Morning,1177,1021,2198
Lexington Ave & E 24 St,"40.74025878,-73.98409214",Morning,1140,1051,2191
W 56 St & 6 Ave,"40.76340613,-73.97722479",Morning,926,1223,2149
Howard St & Centre St,"40.71910537,-73.99973337",Morning,1185,957,2142
Central Park West & W 76 St,"40.77896784,-73.97374737",Morning,863,1276,2139
Central Park West & W 68 St,"40.7734066,-73.97782542",Morning,1026,1094,2120
Lafayette St & Jersey St,"40.72456089,-73.99565293",Morning,791,1324,2115
W 51 St & 6 Ave,"40.7606597,-73.98042047",Morning,824,1289,2113
Forsyth St & Canal St,"40.7158155,-73.99422366",Morning,1048,1056,2104
E 47 St & Park Ave,"40.75510267,-73.97498696",Morning,763,1338,2101
W 42 St & 8 Ave,"40.7575699,-73.99098507",Morning,1308,780,2088
W 43 St & 6 Ave,"40.75527307,-73.98316936",Morning,974,1106,2080
Sullivan St & Washington Sq,"40.73047747,-73.99906065",Morning,900,1172,2072
Grand St & Greene St,"40.72165481,-74.00234737",Morning,885,1186,2071
E 51 St & Lexington Ave,"40.75714758,-73.97207836",Morning,1141,925,2066
1 Ave & E 30 St,"40.74144387,-73.97536082",Morning,1006,1052,2058
Centre St & Worth St,"40.71494807,-74.00234482",Morning,791,1251,2042
W 24 St & 7 Ave,"40.74487634,-73.99529885",Morning,1087,939,2026
E 10 St & Avenue A,"40.72740794,-73.98142006",Morning,1367,644,2011
9 Ave & W 22 St,"40.7454973,-74.00197139",Morning,984,1026,2010
South St & Whitehall St,"40.70122128,-74.01234218",Morning,803,1201,2004
9 Ave & W 18 St,"40.74317449,-74.00366443",Morning,990,1004,1994
E 48 St & 3 Ave,"40.7546011026,-73.971878855",Morning,979,997,1976
Broadway & W 37 St,"40.75172632,-73.98753523",Morning,1059,910,1969
Mercer St & Spring St,"40.72362738,-73.99949601",Morning,647,1322,1969
Peck Slip & Front St,"40.707873,-74.00167",Morning,802,1147,1949
Lispenard St & Broadway,"40.71939226,-74.00247214",Morning,904,1045,1949
Allen St & E Houston St,"40.722055,-73.989111",Morning,1043,891,1934
Allen St & Rivington St,"40.72019576,-73.98997825",Morning,1161,745,1906
West Thames St,"40.70834698,-74.01713445",Morning,1049,849,1898
W 4 St & 7 Ave S,"40.73401143,-74.00293877",Morning,758,1119,1877
Watts St & Greenwich St,"40.72405549,-74.00965965",Morning,1070,795,1865
Central Park North & Adam Clayton Powell Blvd,"40.799484,-73.955613",Morning,805,1055,1860
Stanton St & Chrystie St,"40.72229346,-73.99147535",Morning,1088,766,1854
Central Park West & W 85 St,"40.78472675,-73.96961715",Morning,1042,808,1850
9 Ave & W 14 St,"40.7405826,-74.00550867",Morning,783,1043,1826
Suffolk St & Stanton St,"40.72066442,-73.98517977",Morning,1030,763,1793
